,RSXFS
2004-03-31,1.9434319871701522
2004-04-30,-0.7390272156514999
2004-05-31,1.3168842863575003
2004-06-30,-0.760805031267664
2004-07-31,0.7913563396276357
2004-08-31,-0.12226763817309028
2004-09-30,2.0853647253083585
2004-10-31,0.2907280751291541
2004-11-30,0.6878693083072651
2004-12-31,1.2848704945819245
2005-01-31,-1.121332238131434
2005-02-28,1.2405596478589187
2005-03-31,0.35170746654864526
2005-04-30,0.8176614881439059
2005-05-31,-0.6188731057737984
2005-06-30,3.308004361459327
2005-07-31,0.7332430846687554
2005-08-31,-1.3354158531823535
2005-09-30,0.3202337607514094
2005-10-31,-0.0650915390861595
2005-11-30,0.8477280427910294
2005-12-31,0.0512124632216171
2006-01-31,2.8830573514213143
2006-02-28,-0.6737100955109265
2006-03-31,0.328930576824904
2006-04-30,0.5161048236562271
2006-05-31,-0.37172486665358884
