,ICSA
1999-10-02,12.641096555879882
1999-10-09,12.581078546153629
1999-10-16,12.567237494741757
1999-10-23,12.542544882151386
1999-10-30,12.560244459250788
1999-11-06,12.54966234992025
1999-11-13,12.546109948315882
1999-11-20,12.528156144699286
1999-11-27,12.570715759118084
1999-12-04,12.567237494741757
1999-12-11,12.513557345278134
1999-12-18,12.567237494741757
1999-12-25,12.498742259492994
2000-01-01,12.56374708980199
2000-01-08,12.604848765487542
2000-01-15,12.57418196709457
2000-01-22,12.556729517143344
2000-01-29,12.560244459250788
2000-02-05,12.65075846679162
2000-02-12,12.611537753638338
2000-02-19,12.553202176625375
2000-02-26,12.542544882151386
2000-03-04,12.56374708980199
2000-03-11,12.506177237980511
2000-03-18,12.509874099861838
2000-03-25,12.513557345278134
2000-04-01,12.491251587763836
2000-04-08,12.498742259492994
2000-04-15,12.464583340681674
2000-04-22,12.520883385370206
2000-04-29,12.581078546153629
2000-05-06,12.587927887999204
2000-05-13,12.528156144699286
2000-05-20,12.542544882151386
2000-05-27,12.542544882151386
2000-06-03,12.577636201962656
2000-06-10,12.556729517143344
2000-06-17,12.591335046320818
2000-06-24,12.598114733306197
2000-07-01,12.546109948315882
2000-07-08,12.587927887999204
2000-07-15,12.621488084491506
2000-07-22,12.611537753638338
2000-07-29,12.604848765487542
2000-08-05,12.631340380934517
2000-08-12,12.66032791780777
2000-08-19,12.669806661762314
2000-08-26,12.65075846679162
2000-09-02,12.614865543731012
2000-09-09,12.641096555879882
2000-09-16,12.647548191161372
2000-09-23,12.570715759118084
2000-09-30,12.584509081250419
2000-10-07,12.641096555879882
2000-10-14,12.608198852372823
2000-10-21,12.594730635321957
2000-10-28,12.614865543731012
2000-11-04,12.7098736543592
2000-11-11,12.669806661762314
2000-11-18,12.712890247898626
2000-11-25,12.782686009834167
2000-12-02,12.730801174465157
2000-12-09,12.679196402112153
2000-12-16,12.777052192115912
2000-12-23,12.804909146618877
2000-12-30,12.774223335915433
2001-01-06,12.727838209334498
2001-01-13,12.669806661762314
2001-01-20,12.745485726148077
2001-01-27,12.799399490807907
2001-02-03,12.837344422372032
2001-02-10,12.80765263256463
2001-02-17,12.788288265382837
2001-02-24,12.863592648446968
2001-03-03,12.858397831569864
2001-03-10,12.881564890851399
2001-03-17,12.881564890851399
2001-03-24,12.842649474601725
2001-03-31,12.86876061860541
2001-04-07,12.894207284266574
2001-04-14,12.855790268162783
